scene_id,im_id,obj_id,score,R,t,time
1121,58,1,1,0.045968186 -0.26384586 -0.96346885 -0.19207925 -0.9488253 0.2506714 -0.9803023 0.17353946 -0.09429509,0.1536487 0.022877371 0.7395947,-1
1121,62,1,1,-0.27026185 -0.45763505 -0.8470707 0.26933154 -0.8806212 0.38982937 -0.92434794 -0.12278685 0.36125386,0.12537172 0.051347487 0.68915075,-1
1121,66,1,1,-0.3057661 -0.49030706 -0.8161532 0.30892718 -0.8619211 0.40206483 -0.9005949 -0.12919411 0.4150154,0.12336613 0.060807154 0.68497777,-1
1121,70,1,1,-0.28493965 -0.49639636 -0.82000005 0.3040415 -0.858093 0.41380578 -0.90904796 -0.13140438 0.39542982,0.12311005 0.059414476 0.68258214,-1
1122,44,1,1,-0.27709332 0.9570954 -0.084781244 0.6066745 0.105850175 -0.7878717 -0.74509424 -0.2697486 -0.6099757,-0.13187648 -0.06379682 1.0892545,-1
1122,48,1,1,-0.624056 -0.7416251 -0.24606168 0.38788918 -0.56739557 0.7263637 -0.67830384 0.35784698 0.64175487,-0.097121395 -0.10626729 1.0481462,-1
1122,52,1,1,-0.7506989 0.45915258 -0.47500536 -0.28753385 -0.87441003 -0.3908088 -0.5947902 -0.1567996 0.7884405,-0.03859281 -0.14648199 0.9989873,-1
1122,56,1,1,-0.4419411 0.8963953 -0.034111474 -0.5666668 -0.30845279 -0.76403254 -0.69539696 -0.31832755 0.64427537,0.03425069 -0.14388596 0.9602721,-1
1122,60,1,1,0.051039826 0.96232617 0.26706445 -0.6509222 0.23486492 -0.72189945 -0.75742674 -0.13699254 0.6383869,0.08748606 -0.10532549 0.95745236,-1
1122,64,1,1,0.55055827 0.73803073 0.39012334 -0.34212852 0.6257601 -0.7009796 -0.7614681 0.2524578 0.5970187,0.09966257 -0.079214424 0.9672641,-1
1122,68,1,1,0.866112 0.24984285 0.43293035 0.12658133 0.7282578 -0.67351156 -0.48355693 0.63813734 0.59912723,0.101345085 -0.074589536 0.96768934,-1
1122,72,1,1,0.85865456 0.33027285 -0.39195946 0.49458176 -0.33315524 0.8027431 0.1345409 -0.883135 -0.4494122,0.10111643 -0.07487163 0.96675956,-1
1123,46,1,1,-0.16294542 0.8474338 0.50527686 0.27283219 0.53085333 -0.80234486 -0.94816214 0.007117361 -0.31770733,-0.11202893 0.024663333 0.9182663,-1
1123,50,1,1,0.088814646 -0.23534629 -0.967845 -0.1363684 -0.96540827 0.22223984 -0.986669 0.11224532 -0.11783618,-0.08807119 -0.06074623 0.92229307,-1
1123,54,1,1,-0.12110571 0.36106768 -0.9246423 0.03269348 -0.9295423 -0.36726314 -0.9921011 -0.07470744 0.10076832,-0.02918976 -0.1346177 0.9423843,-1
1123,58,1,1,-0.1601448 0.59978 -0.7839755 -0.095986225 -0.79992443 -0.59237444 -0.9824155 -0.019614838 0.1856744,0.016592031 -0.1488384 0.97356683,-1
1123,62,1,1,-0.20384882 0.7387978 -0.6423578 -0.30417863 -0.6714575 -0.67573684 -0.9305488 0.057643354 0.3616023,0.04230549 -0.13643375 1.0029632,-1
1123,66,1,1,-0.15755232 0.7499918 -0.6424092 -0.3516921 -0.6504949 -0.67317826 -0.9227621 0.11986945 0.3662532,0.047226273 -0.13355984 1.0172132,-1
1123,70,1,1,-0.17885932 0.74626255 -0.641172 -0.31176734 -0.6610859 -0.68247086 -0.9331722 0.07783021 0.3509017,0.048269875 -0.13606732 1.0175761,-1
1124,44,1,1,-0.58836514 0.113425456 0.8006004 -0.28759912 -0.9547229 -0.07609713 0.7557203 -0.27502486 0.59434676,-0.107954375 0.30737233 0.68040323,-1
1124,48,1,1,0.5115337 -0.16524532 -0.8432244 0.20482348 -0.9295971 0.30642578 -0.83449423 -0.32945925 -0.44167405,-0.16119055 0.26918957 0.6912332,-1
1124,52,1,1,0.6766437 -0.17321405 -0.7156466 0.42785615 -0.69851065 0.57360435 -0.59924316 -0.6943196 -0.39853215,-0.16532566 0.20190226 0.6956733,-1
1124,56,1,1,0.52650124 -0.013721913 -0.8500636 0.48933658 -0.81275344 0.3161985 -0.69523096 -0.5824461 -0.42120105,-0.18121275 0.13902235 0.739399,-1
1124,60,1,1,0.2852463 0.018130276 -0.9582828 0.17596856 -0.9838166 0.03376615 -0.9421622 -0.17825931 -0.2838204,-0.18889463 0.113160804 0.7816813,-1
1124,64,1,1,0.2590347 0.018396158 -0.9656928 0.1021573 -0.9947324 0.008453034 -0.9604504 -0.1008422 -0.2595495,-0.19074327 0.11070612 0.8041924,-1
1124,68,1,1,0.2537682 0.039978974 -0.96643853 0.09953408 -0.99492073 -0.0150214685 -0.96213025 -0.0923816 -0.25645855,-0.19221237 0.10985215 0.80915487,-1
1124,72,1,1,0.26188383 0.064595036 -0.96293527 0.20723893 -0.97824645 -0.009260583 -0.94258624 -0.19713248 -0.26957357,-0.19190355 0.10815392 0.80702025,-1
1125,46,1,1,-0.55684716 0.8294514 -0.043949522 0.8135138 0.53393686 -0.23044886 -0.16767988 -0.16407834 -0.9720914,0.06733514 0.07495006 0.8718874,-1
1125,50,1,1,0.05770753 0.9691938 0.23944333 -0.77760947 0.19405171 -0.59805304 -0.62609375 -0.15168124 0.7648525,0.09131807 0.066395395 0.8058435,-1
1125,54,1,1,0.24530447 0.8046931 0.540643 -0.10780816 0.5768666 -0.8096928 -0.963433 0.14033553 0.22826043,0.120199956 0.11755404 0.7581638,-1
1125,58,1,1,0.07558731 -0.5365182 -0.8404967 0.10123602 -0.83442354 0.54174584 -0.99198675 -0.12603766 -0.008756855,0.12764531 0.18446356 0.7234071,-1
1125,62,1,1,-0.03828746 -0.22380982 -0.9738805 -0.008680241 -0.97448397 0.22428972 -0.99922913 0.017041001 0.035367787,0.13303748 0.22726296 0.7227566,-1
1125,66,1,1,0.025722604 -0.25919515 -0.96548235 -0.0879617 -0.96264267 0.25608933 -0.9957917 0.07833819 -0.047560923,0.13314503 0.24181364 0.7325019,-1
1125,70,1,1,0.024201246 -0.23890889 -0.97074044 -0.053613644 -0.9699377 0.23737466 -0.9982685 0.04630017 -0.036282472,0.13470039 0.24453674 0.73590773,-1
1126,44,1,1,-0.1840355 0.96704054 -0.17596416 0.5232123 -0.05517125 -0.8504146 -0.8320936 -0.24857308 -0.4958141,0.1399919 0.031771272 0.9505455,-1
1126,48,1,1,0.7136296 0.1940495 -0.67311037 0.11756302 -0.98041546 -0.15800181 -0.69058794 0.033621885 -0.7224666,0.12601465 0.008152297 0.9004693,-1
1126,52,1,1,0.48015624 0.08090451 -0.873444 0.53222066 -0.8183832 0.21677195 -0.6972741 -0.56894934 -0.43601084,0.11009545 -0.0066734147 0.84734297,-1
1126,56,1,1,-0.18598422 -0.29562986 -0.93702346 0.1429897 -0.9516532 0.27186435 -0.97209245 -0.083422214 0.21926452,0.066323824 0.031281386 0.7753895,-1
1126,60,1,1,-0.5294399 -0.2885604 -0.7977633 0.32016742 -0.9387972 0.12709318 -0.785612 -0.18812962 0.5894243,0.036172263 0.087281354 0.7707945,-1
1126,64,1,1,-0.5396774 -0.16025276 -0.82647884 0.3010864 -0.95352477 -0.0117178 -0.78619033 -0.25516537 0.5628457,0.028328788 0.11101774 0.76975983,-1
1126,68,1,1,-0.5537191 -0.10131904 -0.82651657 0.2029349 -0.97906256 -0.01593586 -0.8075968 -0.17655306 0.5626868,0.027793996 0.11442465 0.7713802,-1
1126,72,1,1,-0.5274462 -0.14520316 -0.8370881 0.26202986 -0.965057 0.0022968592 -0.8081713 -0.21813062 0.54706323,0.026096877 0.11240068 0.7705048,-1
1127,46,1,1,-0.43776277 0.8536696 -0.28215608 0.3104319 -0.15101245 -0.93852395 -0.84379846 -0.4984411 -0.19889864,0.08442418 0.15833847 0.8419363,-1
1127,50,1,1,-0.92127496 -0.06391747 -0.38362357 0.3199748 -0.685256 -0.65424794 -0.2210625 -0.7254921 0.6517612,0.037054285 0.08073733 0.82075804,-1
1127,54,1,1,-0.5030871 0.8551965 0.12466831 0.80501807 0.41123608 0.42758703 0.31440285 0.31547377 -0.89533633,-0.025589906 0.025756486 0.8412934,-1
1127,58,1,1,-0.22956492 0.90740305 -0.3520224 0.90308523 0.33346188 0.27062944 0.36295602 -0.2557792 -0.8960134,-0.08483626 0.015195151 0.86496454,-1
1127,62,1,1,-0.026565002 0.7863838 -0.61716676 0.95299333 0.2063298 0.22188196 0.30182424 -0.5822615 -0.7548998,-0.11393671 0.024761353 0.8877676,-1
1127,66,1,1,0.022370843 0.7994381 -0.60033184 0.9752191 0.11475406 0.1891541 0.22010751 -0.5896866 -0.77706015,-0.12044056 0.02972765 0.89403164,-1
1127,70,1,1,-0.002751547 0.79362875 -0.6083962 0.96590453 0.15961455 0.20384242 0.25888407 -0.58709174 -0.7670087,-0.121692136 0.025776254 0.8977157,-1
1128,40,2,1,0.8271742 0.5261988 -0.19722465 -0.06364827 -0.26097965 -0.9632438 -0.5583293 0.80932343 -0.18238401,-0.031101696 0.10613743 0.75144196,-1
1128,44,2,1,0.8919318 0.39755914 -0.2154172 -0.21637213 -0.043063615 -0.97536075 -0.39704022 0.91656554 0.04761091,-0.016166959 0.04747271 0.7802739,-1
1128,48,2,1,0.7608017 0.44903305 -0.46856168 -0.6300307 0.3378118 -0.6992457 -0.15569875 0.8271955 0.5399124,-0.024748838 -0.044380557 0.849369,-1
1128,52,2,1,-0.4384927 0.64556664 0.6252742 0.81352806 0.5807954 -0.029132914 -0.3819636 0.49590352 -0.77986115,-0.09513305 -0.07820851 0.86848474,-1
1128,56,2,1,-0.11978486 0.815287 0.5665321 0.8712049 0.35996133 -0.33381104 -0.4760815 0.45358002 -0.75339997,-0.17998378 -0.046166062 0.8444291,-1
1128,60,2,1,-0.096245356 0.8016689 0.5899693 0.94082725 0.26676238 -0.20900215 -0.32493216 0.5349437 -0.7799066,-0.22364263 -0.013943651 0.8002649,-1
1128,64,2,1,-0.018328998 0.8392115 0.5434962 0.9561593 0.1736151 -0.23583303 -0.29227293 0.51534635 -0.8056021,-0.23641808 -0.003036525 0.79332864,-1
1128,68,2,1,-0.044725195 0.8404777 0.53999716 0.97396576 0.15693435 -0.16359165 -0.22223921 0.5186221 -0.8256155,-0.24469048 -0.0042977515 0.7935565,-1
1128,72,2,1,-0.041777983 0.8362873 0.54669744 0.97106177 0.16276506 -0.17477557 -0.23514584 0.52357525 -0.8188867,-0.24637102 -0.004069209 0.79105574,-1
1129,42,2,1,0.0939474 0.99517447 -0.028311552 0.029245196 -0.031183654 -0.9990857 -0.9951475 0.09303354 -0.0320337,0.13649118 0.13522442 0.9110747,-1
1129,46,2,1,-0.23013252 0.9653449 -0.123077385 -0.094780184 -0.14810434 -0.9844195 -0.96853274 -0.21488164 0.12557921,0.10457527 0.054838214 0.9271775,-1
1129,50,2,1,0.15051071 0.85312515 -0.4995238 0.40570357 -0.51407397 -0.75573313 -0.90152717 -0.08891266 -0.4234895,0.08417555 -0.042940482 0.90730697,-1
1129,54,2,1,0.2845486 0.76088816 -0.583165 0.8030942 -0.5213914 -0.2884281 -0.5235187 -0.38626462 -0.759426,0.08172653 -0.06932499 0.7993945,-1
1129,58,2,1,0.24470697 0.7491341 -0.6155621 0.9083741 -0.3991479 -0.12464999 -0.33907986 -0.5286579 -0.7781682,0.12658556 -0.048236147 0.7341125,-1
1129,62,2,1,0.1570027 0.81462324 -0.558336 0.96358943 -0.25025523 -0.094168365 -0.21643825 -0.52322197 -0.82425314,0.16513468 -0.028237877 0.70488054,-1
1129,66,2,1,0.07820748 0.82869387 -0.5542112 0.9575292 -0.21719469 -0.18964244 -0.27752724 -0.5158419 -0.8104849,0.18029037 -0.022892827 0.69961816,-1
1129,70,2,1,0.10852352 0.82754016 -0.55081767 0.96044517 -0.2302252 -0.15665746 -0.25645244 -0.5120291 -0.8197917,0.1864392 -0.023022655 0.7063975,-1
1130,40,2,1,0.7159642 0.68736815 -0.12214887 0.20552582 -0.3747332 -0.9040654 -0.66719896 0.62217367 -0.40956742,-0.092204235 -0.042268626 0.9580696,-1
1130,44,2,1,0.81882566 0.5658063 -0.09689057 0.25674692 -0.5119378 -0.8197565 -0.51342535 0.6463613 -0.5644568,-0.10594382 -0.076786645 0.92910933,-1
1130,48,2,1,0.89208996 0.45024592 0.038133465 0.39099464 -0.7268741 -0.5646036 -0.22649223 0.51858723 -0.82448083,-0.092368 -0.14495827 0.8567637,-1
1130,52,2,1,-0.5407765 0.4969552 -0.67867255 -0.6173605 -0.78249353 -0.08105555 -0.5713378 0.37515268 0.72995454,-0.045795206 -0.18552285 0.85176116,-1
1130,56,2,1,-0.1391641 0.6404955 -0.7552476 -0.7037454 -0.6005307 -0.37961206 -0.6966892 0.47867364 0.53431803,0.0469585 -0.1820611 0.89618987,-1
1130,60,2,1,-0.13681123 0.6480849 -0.7491786 -0.82739574 -0.49062255 -0.27332345 -0.54470074 0.58247346 0.6033454,0.08855312 -0.17608842 0.94894916,-1
1130,64,2,1,-0.19192818 0.6339454 -0.7491842 -0.8720038 -0.46041867 -0.16620502 -0.45030323 0.621392 0.6411701,0.10462614 -0.17439136 0.9857057,-1
1130,68,2,1,-0.19330847 0.61927384 -0.7610071 -0.8423191 -0.5024903 -0.19494121 -0.50312066 0.603327 0.6187618,0.10406423 -0.17828909 0.98866266,-1
1130,72,2,1,-0.2042622 0.60741806 -0.767672 -0.8567814 -0.49025083 -0.15993698 -0.47350043 0.62505805 0.62056416,0.108131684 -0.18183471 0.9909421,-1
1131,42,2,1,-0.58540946 0.8099921 -0.03476477 0.48361924 0.31446993 -0.81683606 -0.6506983 -0.4949965 -0.5758214,-0.01272241 0.0074828877 0.852298,-1
1131,46,2,1,-0.6713097 0.740942 -0.018658994 -0.0943098 -0.11036277 -0.9894067 -0.7351523 -0.66243863 0.14396569,0.010313661 -0.058765754 0.8187194,-1
1131,50,2,1,-0.1486628 0.8860195 0.43916816 -0.5147112 0.3098749 -0.79940593 -0.8443765 -0.34488672 0.40997735,0.04735646 -0.14245634 0.77621555,-1
1131,54,2,1,-0.32449824 0.6033658 -0.72845775 0.54984456 0.7469728 0.37376806 0.76965696 -0.27925146 -0.5741488,0.059197713 -0.19562042 0.84637976,-1
1131,58,2,1,-0.19311239 0.66062033 -0.7254574 0.64964575 0.64018154 0.41003415 0.73530126 -0.3921076 -0.5527962,0.03610718 -0.20224996 0.9296675,-1
1131,62,2,1,-0.13931574 0.70657086 -0.693793 0.69181395 0.5707354 0.44232854 0.7085087 -0.41835234 -0.5683281,0.013274605 -0.20256524 0.96843773,-1
1131,66,2,1,-0.09784853 0.7375788 -0.6681341 0.7035769 0.526081 0.47772187 0.7038502 -0.42333937 -0.5704197,0.001573269 -0.20531005 0.9820765,-1
1131,70,2,1,-0.120746635 0.72459614 -0.6785135 0.69291306 0.5509715 0.46508268 0.7108388 -0.41399372 -0.56861,-0.0018357517 -0.2053027 0.98376364,-1
1132,40,2,1,-0.10469602 0.9870776 -0.12131188 0.88274914 0.03605661 -0.46845907 -0.45803136 -0.15613376 -0.8751169,-0.05875395 0.26519844 0.73891604,-1
1132,44,2,1,0.058432627 0.9890665 -0.13539939 0.79608166 -0.12800501 -0.591497 -0.6023617 -0.07322624 -0.7948574,-0.031585425 0.23120439 0.7041712,-1
1132,48,2,1,0.49175096 0.86538935 -0.09634534 0.30888215 -0.2768234 -0.9099235 -0.8141086 0.4176964 -0.40343148,-0.031198405 0.15063775 0.64199525,-1
1132,52,2,1,0.4568702 0.8874493 -0.060853828 -0.3595312 0.12165087 -0.92516935 -0.81363803 0.44456115 0.3746444,-0.07353657 0.0767722 0.6298533,-1
1132,56,2,1,0.13567956 0.98985964 0.0420607 -0.61664414 0.117598936 -0.778409 -0.7754619 0.07967771 0.6263468,-0.14832638 0.06723848 0.68398815,-1
1132,60,2,1,0.051493797 0.9963723 0.06775504 -0.62559956 0.08506664 -0.77549267 -0.7784431 -0.0024544634 0.6277104,-0.2039592 0.08473398 0.7087481,-1
1132,64,2,1,0.087552465 0.99391234 0.066880286 -0.6247202 0.10707769 -0.7734721 -0.77592474 0.025937919 0.63029206,-0.22761267 0.09947057 0.71877074,-1
1132,68,2,1,0.07249525 0.99572337 0.05726628 -0.62978244 0.09022382 -0.77151394 -0.77338123 0.0198658 0.63362986,-0.23566204 0.10093404 0.7223424,-1
1132,72,2,1,0.057876017 0.9971005 0.049406398 -0.6251058 0.07478174 -0.7769494 -0.7783913 0.014082512 0.6276214,-0.2380156 0.10077264 0.72227955,-1
1133,42,2,1,-0.054273006 0.99782395 -0.037440475 0.80977654 0.022044724 -0.5863241 -0.5842229 -0.062139988 -0.8092109,0.009336962 0.115434185 0.8376604,-1
1133,46,2,1,0.15966593 0.98429525 -0.07529789 0.9123817 -0.17626302 -0.36944687 -0.376917 -0.009712338 -0.92619616,-0.021337826 0.07218046 0.7641956,-1
1133,50,2,1,0.511466 0.82536733 -0.23910484 0.8418264 -0.42544118 0.33215678 0.17242633 -0.37117165 -0.9124147,-0.018923676 0.063781045 0.68335706,-1
1133,54,2,1,-0.40799272 0.91121256 -0.056866277 -0.42465964 -0.24454065 -0.8717019 -0.80821174 -0.33149922 0.48672596,0.035447214 0.107917815 0.6336468,-1
1133,58,2,1,-0.01855123 0.9989154 -0.042708866 -0.5084875 -0.0462055 -0.85982877 -0.8608695 0.0057660453 0.5087932,0.11366208 0.14984179 0.65922624,-1
1133,62,2,1,-0.06505365 0.99684215 -0.045540087 -0.4575478 -0.07035394 -0.8863974 -0.88680214 -0.03682662 0.4606797,0.16519552 0.16421527 0.6817335,-1
1133,66,2,1,-0.123115025 0.9903516 -0.063611 -0.587939 -0.124427535 -0.7992781 -0.79948133 -0.061003752 0.59758526,0.17806952 0.16222212 0.69059855,-1
1133,70,2,1,-0.14266393 0.98738116 -0.068742506 -0.60298795 -0.14178006 -0.7850503 -0.7848902 -0.070547454 0.61560583,0.18071055 0.16225979 0.6895609,-1
1134,40,2,1,-0.45013413 0.89296 0.0012579953 0.5205972 0.26357305 -0.8121008 -0.7255052 -0.3648994 -0.58351576,0.049882125 0.024375917 0.95217955,-1
1134,44,2,1,-0.31438383 0.9491274 -0.017886281 0.5540802 0.16816622 -0.8153007 -0.7708164 -0.26622778 -0.57876146,0.02760363 -0.026103705 0.9277879,-1
1134,48,2,1,-0.2398035 0.89577645 -0.37427086 0.83839387 -0.003291428 -0.5450549 -0.48947927 -0.44449246 -0.75022423,-0.014863429 -0.10717846 0.8669814,-1
1134,52,2,1,0.26342437 0.7511583 -0.6052841 0.9564088 -0.1213712 0.2656148 0.12605469 -0.64886844 -0.75038654,-0.031243753 -0.09607752 0.7861684,-1
1134,56,2,1,0.38495544 0.68456316 -0.6190174 0.84706897 0.004240513 0.531466 0.366447 -0.7289412 -0.57823986,0.007860598 -0.034227714 0.7464636,-1
1134,60,2,1,0.2942216 0.75393903 -0.5873751 0.8447298 0.08233903 0.5288212 0.4470628 -0.65176386 -0.61264884,0.055595167 0.02357129 0.7316006,-1
1134,64,2,1,0.25406387 0.77609956 -0.5771665 0.85492283 0.098849624 0.5092502 0.4522815 -0.6228149 -0.6383911,0.07270769 0.042167738 0.72464937,-1
1134,68,2,1,0.2475519 0.7752011 -0.5811896 0.8562111 0.10571203 0.50569516 0.45345417 -0.6228068 -0.6375665,0.07890107 0.043794107 0.72169465,-1
1134,72,2,1,0.24578267 0.7834718 -0.5707563 0.86109555 0.09389442 0.49969828 0.44509038 -0.6142929 -0.6515664,0.080667876 0.043476738 0.7204968,-1
1135,42,2,1,0.8460548 0.5249024 -0.093106434 0.30728087 -0.6228966 -0.7194292 -0.4356258 0.5800667 -0.68829703,0.093420684 0.07915529 0.9224829,-1
1135,46,2,1,0.95359826 0.28128493 -0.10737394 0.018715467 -0.41131592 -0.91130066 -0.30049977 0.86700517 -0.39749452,0.10443065 -0.008043617 0.87832546,-1
1135,50,2,1,0.70108145 0.46152958 -0.5435763 -0.48919433 -0.24332972 -0.8375438 -0.5188195 0.85310084 0.05518369,0.071278065 -0.10474233 0.8600723,-1
1135,54,2,1,-0.43215135 -0.3507763 -0.83078355 0.8879778 -0.0048348606 -0.4598609 0.15729159 -0.93644685 0.313571,-0.01323805 -0.108769566 0.8667071,-1
1135,58,2,1,-0.15880506 -0.5876628 -0.79336846 0.9232962 0.19624154 -0.33017185 0.34972155 -0.78494704 0.51142263,-0.08605243 -0.05951524 0.85563666,-1
1135,62,2,1,-0.140807 -0.69103503 -0.70897394 0.8950594 0.21720558 -0.38947454 0.42313364 -0.68941456 0.5879333,-0.119166374 -0.022258924 0.8470659,-1
1135,66,2,1,-0.15176612 -0.6695453 -0.72710115 0.88570905 0.2344015 -0.40071872 0.43873295 -0.70481557 0.5574481,-0.11924284 -0.013217177 0.8304549,-1
1135,70,2,1,-0.17381641 -0.67973804 -0.7125617 0.8807392 0.21639961 -0.42127153 0.4405523 -0.70080495 0.5610581,-0.12191687 -0.012852888 0.8281942,-1
1136,40,3,1,0.13106498 -0.46853 -0.87367135 0.9606291 0.27779156 -0.0048632054 0.2449771 -0.8386367 0.48649225,0.1981921 0.2022662 0.7152123,-1
1136,44,3,1,-0.23958647 0.5921256 -0.7694059 -0.6999204 -0.6545515 -0.2857858 -0.672837 0.47005248 0.57126254,0.21372572 0.16396458 0.72995365,-1
1136,48,3,1,-0.44381437 -0.14097732 -0.88496 0.43466797 -0.8974607 -0.075020656 -0.7836406 -0.417959 0.45958427,0.22191976 0.07730425 0.75819004,-1
1136,52,3,1,-0.16213323 -0.5310793 -0.8316655 0.8520771 -0.50041986 0.1534422 -0.49767196 -0.68376505 0.5336552,0.22083311 -0.022424914 0.753151,-1
1136,56,3,1,-0.107624516 -0.6602269 -0.7433153 0.9633959 -0.2539035 0.08603197 -0.24553095 -0.7068477 0.663386,0.2460518 -0.07046724 0.7363964,-1
1136,60,3,1,-0.25519967 -0.43860692 -0.8616827 0.96640885 -0.14377317 -0.2130335 -0.030448893 -0.88710386 0.46056443,0.28335154 -0.06838084 0.705205,-1
1136,64,3,1,-0.46115637 -0.22992246 -0.8570125 0.88181776 -0.0113708 -0.47145334 0.098652795 -0.97314256 0.20799339,0.29215822 -0.049501404 0.6826804,-1
1136,68,3,1,-0.46338332 -0.22171104 -0.8579744 0.8607477 0.11758095 -0.4952656 0.2106873 -0.9679973 0.13635224,0.28990233 -0.03450776 0.6781411,-1
1136,72,3,1,-0.4950398 0.23904586 -0.8353399 0.8182342 0.45167002 -0.35565004 0.29228127 -0.8595646 -0.41919014,0.2895974 -0.024333453 0.6782135,-1
1137,42,3,1,0.178869 0.4527302 -0.87352234 0.8160782 -0.56419426 -0.12530497 -0.5495656 -0.69044936 -0.47038007,-0.19807032 0.18714485 0.73114467,-1
1137,46,3,1,0.38416472 -0.32078853 -0.86574376 -0.4452133 -0.8858381 0.13067544 -0.8088279 0.33523974 -0.4831271,-0.17733803 0.119913295 0.7192055,-1
1137,50,3,1,-0.4312778 0.30646175 -0.84857565 0.77094805 0.61374307 -0.1701722 0.46865618 -0.72759926 -0.5009598,-0.18118535 0.024728509 0.74465954,-1
1137,54,3,1,-0.335704 0.55448496 -0.7614783 0.9415078 0.1722617 -0.28963584 -0.029425174 -0.8141697 -0.5798809,-0.20617963 -0.045561608 0.73654366,-1
1137,58,3,1,0.020593025 0.43631047 -0.8995605 0.83355135 -0.50431293 -0.22552308 -0.5520581 -0.7451857 -0.37407246,-0.25666988 -0.061127163 0.7020109,-1
1137,62,3,1,0.23846017 0.5855019 -0.77480596 0.97049356 -0.17304969 0.16791704 -0.03576418 -0.7919857 -0.6094912,-0.29040453 -0.04324213 0.6843198,-1
1137,66,3,1,0.098047115 0.5236014 -0.84630275 0.94068724 -0.32630768 -0.092902325 -0.32479888 -0.78699744 -0.5245387,-0.30229133 -0.027083151 0.6796502,-1
1137,70,3,1,0.18468009 0.9744915 0.12751347 -0.22114907 0.16762324 -0.9607266 -0.95759404 0.1492276 0.24646457,-0.3064951 -0.01424709 0.68138677,-1
1138,40,3,1,-0.6299195 0.5698359 -0.5277201 -0.3354253 -0.8124413 -0.4768953 -0.70049363 -0.12339498 0.70290995,0.024700789 -0.016013304 1.0929422,-1
1138,44,3,1,-0.8876667 -0.27869207 -0.36657676 0.39415964 -0.8714405 -0.2919413 -0.23808807 -0.40363634 0.88339794,0.019274984 -0.04877571 1.0714697,-1
1138,48,3,1,-0.5727338 0.41819444 -0.7050457 -0.24421091 -0.90807426 -0.34023854 -0.7825197 -0.022686273 0.62221247,-0.0066391923 -0.10872111 1.0051221,-1
1138,52,3,1,0.020706223 0.7031546 -0.71073544 -0.6871755 -0.50634545 -0.52096456 -0.7261963 0.4991872 0.47270614,-0.0016066636 -0.1889115 0.9627775,-1
1138,56,3,1,-0.43467835 0.72274464 -0.53730327 -0.75080055 -0.6203013 -0.22699057 -0.49734616 0.3047397 0.8122687,-0.020977037 -0.24152437 0.9616101,-1
1138,60,3,1,-0.34432864 0.82182306 0.4539215 0.9247315 0.21334574 0.31520677 0.16220196 0.5282902 -0.8334267,-0.04319958 -0.25229913 0.9945713,-1
1138,64,3,1,-0.2662726 0.800069 0.5375765 0.8440644 0.46285442 -0.27077863 -0.46546128 0.38164824 -0.7985552,-0.043168977 -0.25400364 1.0312623,-1
1138,68,3,1,-0.32793617 0.9364573 0.124521375 0.759609 0.33974957 -0.55458486 -0.5616511 -0.08728088 -0.8227576,-0.02756348 -0.24854182 1.0496559,-1
1138,72,3,1,-0.56757194 0.8205743 0.06722951 0.4985628 0.40752748 -0.7650859 -0.65520775 -0.40072313 -0.640409,-0.023970844 -0.24549201 1.0531858,-1
1139,42,3,1,-0.20616399 0.694771 -0.6890498 0.68833524 0.60346395 0.4025243 0.695479 -0.39131123 -0.6026479,0.023800395 0.0013196111 1.0587028,-1
